Asset ID,Brand,Location,Name,Address 1,Address 2,Address 3,City,Zip Code,Private Tier,Province,Product Categories,Employees,Asset Type
15805,Reebok,China,Zhongshan WeiLi Textile Co. Ltd.,The second Industrial Area,SanXiang Town,(blank),Zhongshan,528463,Tier 1 - Primary,Guangdong,Accessories,380.0,Factory
15945,Adidas,Indonesia,PT Parkland World Indonesia,Jalan Raya Serang KM.68,Desa Nambo Ilir Kecamatan Kibin,(blank),Serang,42186,Tier 1 - Primary,Banten,Footwear,1085.0,Factory
15951,Adidas,"Korea, Republic of (South Korea)",Segye Apparel,"51, Gongdan-ro", Geumjeong-gu,(blank),BUSAN,46331,Tier 1 - Primary,Pusan-gwangyoksi,Apparel,5.0,Store
16624,Adidas,United States,Alstyle Apparel (Chicago),2600 W. Bradley Place,(blank),(blank),Chicago,60618,Tier 1 - Primary,Illinois,Apparel,136.0,Distribution Centre
17205,Adidas,Italy,Calzaturificio Jumbo SpA,Via Fenil Novo 6,(blank),(blank),San Martino B.A.,37036,Tier 1 - Primary,Veneto,Footwear,8.0,Store
17336,Adidas,Vietnam,"Fashion Garments 2 Co., Ltd","Road 3, Bien Hoa Industry zone 1, Bien Hoa city, Dong Nai Province",(blank),(blank),Bien Hoa,71000,Tier 1 - Primary,Dong Nai,Apparel,78.0,Distribution Centre
17505,Adidas,Honduras,Gildan Activewear San Miguel,Parque Industrial Zoli America ,"Carretera a Puerto Cortes, Km 6 ",Contiguo a Kativo de Honduras,Choloma,,Tier 1 - Primary,Cortes,Apparel,465.0,Factory
17671,Adidas,United States,Guerilla Graffix,1902 Broadway St,(blank),(blank),Rockford,61109,Tier 2 – Subcontractor,Illinois,Apparel,7.0,Store
17754,Reebok,China,HeShan YaYao Zeng Zhao Shoes Factory ,"No. 136, Xing Ya Road, YaYao Industrial Area, ",YaYao Town,(blank),HeShan,529700,Tier 1 - Primary,Guangdong,Footwear,21.0,Store
17911,Adidas,Honduras,Industrias de Exportacion S.A. de C.V. (INDEX),Zona Libre Metropolitana Jacaleapa,Colonia Residencial Honduras,Contiguo a UNITEC ,Tegucigalpa,11101,Tier 1 - Primary,(blank),Apparel,238.0,Distribution Centre
18279,Adidas,China,QMI Industrial (Shanghai) Limited,"515 Yuanfu Rd., Anting Town",(blank),(blank),Jiading,201814,Tier 1 - Primary,Shanghai Shi,Apparel,80.0,Distribution Centre
18683,Adidas,United States,Melmarc Products Inc,4040 W.Carriage Drive,(blank),(blank),Santa Ana,92704,Tier 1 - Primary,California,Apparel,33.0,Store
18814,Reebok,Thailand,Nan Yang Garment Co Ltd,27 Phetkasem 71 Road,Nongkangploo,Nongkham,Bangkok,10160,Tier 1 - Primary,Bangkok,Apparel,889.0,Factory
19312,Reebok,Indonesia,PT Gistex Garmen Indonesia,Jl. Panyawungan KM. 19 Cileunyi,Wetan Kabupaten Bandung ,(blank),Bandung,40622,Tier 1 - Primary,Jawa Barat,Apparel,101.0,Distribution Centre
19610,Adidas,Argentina,R.A. Intertrading S.A.,Jose I. Rucci (ex Pilar) 3951 / 55,(blank),(blank),Villa Lugano,1439,Tier 1 - Primary,Ciudad Autonoma de Buenoas Aires,Apparel,82.0,Distribution Centre
20243,Adidas,Colombia,Supertex S.A.,Carrera 35 No-10-707,(blank),(blank),Acopy Yumbo,,Tier 1 - Primary,Valle del Cauca,Apparel,121.0,Distribution Centre
20620,Adidas,Vietnam,"Unipax Co.,  Ltd","Plot 101/2 +101/4 road 3, Long Binh IP (Amata), Bien Hoa, Dong Nai, Viet Nam",Long Binh Ward,,Bien Hoa City,810000,Tier 1 - Primary,Dong Nai,"Accessories, Apparel",200.0,Distribution Centre
20642,Reebok,China,Universe Industry Development (Shenzhen) Co. Ltd.,"446, Songbai Road (B1 of 1st floor, 3rd floor, 4th floor and A & B1 of 5th floor of the 1st Block), ",Gongming Street,Guangming New District,Shenzhen, 518106,Tier 1 - Primary,Guangdong,Accessories,34.0,Store
20798,Adidas,Thailand,V.T. Garment Co. Ltd,"No.602/50 , Soi Sathupradit 48,","Sathupradit Road, ","Bang Pongpang, Yannawa",Bangkok,10120,Tier 1 - Primary,Krung Thep Mahanakhon,Apparel,166.0,Distribution Centre
20911,Adidas,Madagascar,World Knits (Madagascar) SA,Parc Futura,Andranomena,(blank),101 Antananarivo,(blank),Tier 1 - Primary,(blank),Apparel,105.0,Distribution Centre
20981,Adidas,Japan,"Monoro, Incorporated","1450-12 Omido, Kamisato-Machi ",(blank),(blank),Kodama-gun,369-0315,Tier 1 - Primary,Saitama,Accessories,3.0,Store
21125,Adidas,China,HuaEr Technology Group Co. Ltd.,"No. 48, ShiJing Road,","HaiNing Economic Development Zone,",(blank),Haining,314400,Tier 1 - Primary,Zhejiang,Apparel,41.0,Store
21137,Adidas,China,Zhejiang Wenti Socks Co Ltd,"No. 28 Zhisheng Rd, ",CaoTa County,(blank),ZhuJi,311812,Tier 1 - Primary,Zhejiang,Accessories,10.0,Store
21281,Adidas,China,Dongguan Zerong Bag Ltd,"No. 382, Jin Xing Road, XiXi Industrial Area",Liaobu,Dongguan,Dongguan,523402,Tier 1 - Primary,Guangdong,Accessories,144.0,Distribution Centre
23472,Adidas,Pakistan,Interloop Limited (Hosiery Division I),1-Km Khurrianwala-Jaranwala Road,Khurrianwala-faisalabad,(blank),Faisalabad,37630,Tier 1 - Primary,Punjab,Accessories,405.0,Factory
23599,Adidas,China,Fuzhou Development Zone Mega Union Shoes Co. Ltd.,No.1 Shang Qi Road,Mawei,(blank),Fuzhou,350015,Tier 1 - Primary,Fujian,Footwear,279.0,Distribution Centre
23602,Adidas,China,Lianjiang Ching Luh Shoes Co.Ltd,"Aojiang Investment Zone,Aojiang Town","Lianjiang,",(blank),Fuzhou,350500,Tier 1 - Primary,Fujian,Footwear,587.0,Factory
23612,Adidas,Turkey,Arikbey Beysehir,Bahcelievler Mah.,Arik Bey Tekstil Fab. Caddesi,No: 1,Beysehir,42700,Tier 1 - Primary,Konya,Apparel,62.0,Distribution Centre
23614,Adidas,Turkey,Akkanat,2.Evren Oto Sanayi Sitesi Cd.,No:6 Yan Yol,(blank),Esenyurt / ISTANBUL,34560,Tier 2 – Subcontractor,(blank),Apparel,19.0,Store
23616,Adidas,Turkey,Beybo Seydisehir,Alaylar 2 Mah. Hafif San. Bol.,"Cevre Yolu uzeri, Kamil Akkanat Cad.,Seydisehir",(blank),Konya,42360,Tier 2 – Subcontractor,Konya,Apparel,36.0,Store
23642,Adidas,South Africa,Genuine Connection Promotions (PTY) Ltd,PO Box 3208,6 Distillery Rd, Paarl,Paarl,7646,Tier 1 - Primary,Western Cape,Apparel,20.0,Store
23687,Adidas,Portugal,P&R Texteis S. A.,"Avenida Central, nr. 45",Tamel São Veríssimo ,(blank),Barcelos,4750 - 721,Tier 1 - Primary,Braga,Apparel,16.0,Store
23688,Adidas,Portugal,P&R (Esposende),"Rua do Agrelo - Rio de Moínhos, 4740-577 - Marinhas, Esposende ",(blank),(blank),Esposende,4740,Tier 1 - Primary,Braga,Apparel,4.0,Store
23696,Adidas,United States,Latitudes,2425 NE Riverside Way ,(blank),(blank),Portland,97211,Tier 2 – Subcontractor,Oregon,Apparel,9.0,Store
23726,Adidas,Brazil,Phael Confecçoes de Auriflama Eireli,"Av. Marcos Matarezio,32-57",(blank),(blank),Auriflama,15350-000,Tier 1 - Primary,Sao Paulo,Apparel,32.0,Store
23727,Adidas,Brazil,Pettenati S.A Ind. Textil - Matriz Confecções,RSC 453 - KM 2400,Distrito Industrial,(blank),Caxias do Sul ,95010-550,Tier 1 - Primary,Rio Grande do Sul,Apparel,63.0,Distribution Centre
23733,Adidas,Brazil,Dass Sul Calçados e Artigos Esportivos Ltda - Saudades,"R. Marcilio Dias 10, ",Centro,(blank),Saudades,89868 000,Tier 1 - Primary,Santa Catarina,Apparel,61.0,Distribution Centre
23734,Adidas,Brazil,Ranee Industria e Comercio Ltda. 1 (Pinhalzinho),"Av. Brasilia, 1822",Centro,(blank),Pinhalzinho,89870-000,Tier 1 - Primary,Santa Catarina,Apparel,9.0,Store
23735,Adidas,Brazil,Ranee Industria e Comercio Ltda.2 (São Carlos),"Av. Santa Catarina, 766",(blank),(blank),São Carlos,89885 000,Tier 1 - Primary,Santa Catarina,Apparel,13.0,Store
23746,Adidas,Taiwan,Ever Kitbag Co Ltd ,"No 70-5, Yuehu Road",Houli Dist. ,(blank),Taichung City,43755,Tier 1 - Primary,(blank),Accessories,1.0,Store
23780,Adidas,China,"Suzhou Industrial Park Tianyuan Garments Co., Ltd","No. 157, Yushan Road",New District,(blank),SuZhou,215011,Tier 1 - Primary,Jiangsu,Apparel,56.0,Distribution Centre
23782,Adidas,China,"JiangSu Tianyuan Garments Co., Ltd",No. 1 Yi Yuan Road,Mingzuling Town,(blank),Xuyi,211758,Tier 1 - Primary,Jiangsu,Apparel,259.0,Distribution Centre
23784,Adidas,India,Aryan Apparels Pvt Ltd,Sector 4,"Plot No.110, IMT Manesar",(blank),Gurgaon,122050,Tier 1 - Primary,Haryana,Apparel,22.0,Store
23790,Adidas,Taiwan,Yi Chia Enterprise Co Ltd,"No.14, Ln. 80,","Zhongxing S. St., ",San Chong Destrict,New Taipei City,24158,Tier 1 - Primary,(blank),Apparel,2.0,Store
23806,Adidas,India,Rider Exports,"116-B/2 - M, Oswal Agro Industrial Complex,","Vijay Inder Nagar, Giaspura.",(blank),Ludhiana,141003,Tier 1 - Primary,Punjab,Apparel,38.0,Store
23860,Adidas,Vietnam,"TMI (Viet Nam) Co., Ltd",1365/1 National Road 1A,An Phu Dong Ward,(blank),Ho Chi Minh City,70000,Tier 1 - Primary,12 District,Apparel,402.0,Factory
23864,Adidas,Indonesia,PT Tung Mung Textile Bintan,Jl. Raya Serang Km.24,Balaraja,Tangerang,Tangerang,15610,Tier 1 - Primary,Banten,Apparel,123.0,Distribution Centre
23873,Reebok,China,"Qingdao Huasheng Socks Co., Ltd",Jifa Industrial Park,Jimo,(blank),Qingdao,266200,Tier 1 - Primary,Shandong,Accessories,23.0,Store
23876,Adidas,China,Jiangsu Qian Li Ma Stockings Co. Ltd.,Dong Lai Development Area,Yang She Town,(blank),Zhang Jia Gang,215600,Tier 1 - Primary,Jiangsu,"Accessories, Apparel",25.0,Store
23915,Adidas,China,"Haining BLS Leather Co., Ltd.","No.99 Longxing Road, The Leather City",Industry Zone,(blank),Haining,314400,Tier 1 - Primary,Zhejiang,Apparel,5.0,Store
